Camp Nou;99,354
Wembley Stadium;90,000
Croke Park;82,300
Twickenham Stadium;82,000
Westfalenstadion (a.k.a. Signal Iduna Park);81,359
Stade de France;81,338
San Siro (a.k.a. Stadio Giuseppe Meazza);80,018
Santiago Bernabéu Stadium;81,044
Luzhniki Stadium;81,000
Atatürk Olympic Stadium;76,092
Old Trafford;75,635
Allianz Arena;75,000
Olympiastadion;74,649
Millennium Stadium;74,500
Stadio Olimpico;72,698
Olimpiyskiy National Sports Complex;70,050
Olympic Athletic Centre of Athens (a.k.a. Spyros Louis Olympic Stadium);69,618
Olympiastadion;69,250
Baku National Stadium;68,700
Stade Vélodrome;67,371
Murrayfield Stadium;67,144
Estádio da Luz;65,647
Veltins-Arena;61,673
Mercedes-Benz Arena (a.k.a. Neckarstadion);60,441
Celtic Park;60,355
Emirates Stadium;60,338
Stadio San Paolo;60,240
Stadion Narodowy;58,500
Stadio San Nicola;58,248
Estadio Olímpico de Sevilla;57,619
Imtech Arena;57,274
Stadium Puskás Ferenc;56,000
Estadi Olímpic Lluís Companys;56,000
Arena Naţională;55,634
Stadium Rajko Mitić;55,538
Stadion Śląski;55,477
Etihad Stadium (a.k.a. City of Manchester Stadium);55,000
Estadi de Mestalla;55,000
Esprit Arena;54,600
Vicente Calderón Stadium;54,851
Boris Paichadze Dinamo Arena;54,549
Friends Arena;54,329
Hrazdan Stadium;54,208
Borussia-Park;54,067
Olympic Stadium;54,000
Semple Stadium;53,500
Amsterdam Arena;53,490
San Mamés;53,332
Ernst Happel Stadion;53,008
Türk Telekom Arena;52,652
Estadio Benito Villamarín;52,500
St James' Park;52,387
Donbass Arena;52,187
Hampden Park;52,103
Estádio do Dragão;52,000
Aviva Stadium;51,700
De Kuip;51,577
Commerzbank-Arena;51,500
İzmir Atatürk Stadium;51,295
Ibrox Stadium;50,947
Şükrü Saracoğlu Stadium;50,509
Estádio José Alvalade;50,466
RheinEnergieStadion;50,374
Stade Pierre-Mauroy;50,186
King Baudouin Stadium;50,093
Grundig-Stadion;50,000
Gaelic Grounds;49,866
Fritz-Walter-Stadion;49,780
AWD-Arena;49,000
Stadium of Light;49,000
Stadio Artemio Franchi;47,282
Parc des Princes;46,480
Estadio Ramón Sánchez Pizjuán;45,500
Otkrytie Arena;45,360
Anfield;45,276
Kazan Arena;45,105
Panathinaiko Stadium;45,000
Red Bull Arena;44,345
PGE Arena Gdańsk;43,615
Páirc Uí Chaoimh;43,550
Vasil Levski National Stadium;43,530
Stadion Miejski;43,269
Fitzgerald Stadium;43,180
Ullevi;43,000
Villa Park;42,788
Stadion Miejski;42,771
Weserstadion;42,500
Torku Arena;42,276
Nouveau Stade de Bordeaux;42,115
MacHale Park;42,000
Stade Geoffroy-Guichard;42,000
Stamford Bridge (stadium);41,841
Ramat Gan Stadium;41,583
Juventus Stadium;41,254
Stade Bollaert-Delelis;41,233
Dinamo Stadium (Minsk);41,040
Helsinki Olympic Stadium;40,600
Estadi Cornellà-El Prat;40,500
Stade Gerland;40,494
Goodison Park;40,394
Stadio San Filippo;40,200
Metalist Stadium;40,003
Fisht Olympic Stadium;40,000
Hillsborough Stadium;39,814
Elland Road;39,460
Stadio Renato Dall'Ara;39,444
Stadio Marcantonio Bentegodi;39,211
Estadio Manuel Martínez Valero;38,750
St. Jakob-Park;38,512
Stade de la Beaujoire;38,285
Telia Parken;38,065
Stadio Renzo Barbera;37,619
Estádio Nacional;37,593
Stadio Arechi;37,245
Maksimir Stadium;37,168
Kazhimukan Munaitpasov Stadium (Shymkent);37,000
Cebeci İnönü Stadium;37,000
Stadio Luigi Ferraris;36,536
Stadio Via del Mare;36,285
White Hart Lane;36,257
St Tiernach's Park;36,000
Asim Ferhatović Hase Stadium;35,630
Allianz Riviera;35,624
Stadium Municipal;35,472
Ludwigspark Stadion;35,303
Boleyn Ground;35,303
Riverside Stadium;35,100
Stadion Poljud;35,000
Olympic Stadium (Wrocław);35,000
Philips Stadion;35,000
Arena Lviv;34,915
Stade Jacques Chaban-Delmas;34,694
Riazor;34,600
La Romareda;34,596
Grotenburg-Stadion;34,500
Chornomorets Stadium;34,164
Coface Arena;34,034
Teddy Stadium;34,000
Pride Park Stadium;33,597
Karaiskakis Stadium;33,334
Cardiff City Stadium;33,280
Stadion Miejski in Kraków;33,268
Metallurg Stadium;33,220
Estadio Nueva Condomina;33,045
Khimik Stadium (Kemerovo);33,000
Tele2 Arena;33,000
Dan Păltinişanu Stadium;32,972
New Tivoli;32,960
Stade de la Mosson;32,939
Kadir Has Stadium;32,864
Partizan Stadium;32,710
Bramall Lane;32,702
St Mary's Stadium;32,689
Ricoh Arena;32,602
Philip II Arena;32,580
Estadio Balaídos;32,500
Republican Spartak Stadium;32,464
Stadio Nereo Rocco;32,454
Rosenaustadion;32,354
Stadio Euganeo;32,336
King Power Stadium;32,262
Estadio Anoeta;32,200
Central Stadium (Volgograd);32,120
Glücksgas Stadium;32,066
Hristo Botev Stadium (Vratsa);32,000
Hypo-Arena;32,000
Casement Park;32,000
Breffni Park;32,000
Slavia Stadium;32,000
Stadio Flaminio;32,000
Stade de Suisse;32,000
Lord's Cricket Ground;32,000
Tsentralnyi Profsoyuz Stadion (Voronezh);31,743
Shakhtar Stadium;31,718
Molineux Stadium;31,700
Kuban Stadium;31,654
Schauinsland-Reisen-Arena;31,500
Ewood Park;31,367
Rewirpowerstadion;31,328
Estadio Gran Canaria;31,250
Tofiq Bahramov Stadium;31,200
Roazhon Park;31,127
Polish Army Stadium;31,103
Dnipro-Arena;31,003
Estádio Municipal de Aveiro;30,970
Sammy Ofer Stadium;30,874
American Express Community Stadium;30,750
Impuls Arena;30,660
Stadio Friuli;30,642
City Ground;30,602
Terek Stadium;30,597
Stadium MK;30,500
Estadio Carlos Tartiere;30,500
Cluj Arena;30,335
Portman Road;30,311
Estádio Algarve;30,305
BayArena;30,210
Estádio Cidade de Coimbra;30,210
De Grolsch Veste;30,205
Estádio Municipal de Braga;30,154
Rhein-Neckar Arena;30,150
Estádio D. Afonso Henriques;30,146
Central Stadium (Kazan);30,133
Volkswagen Arena;30,122
Stade de Genève;30,084
Estadio La Rosaleda;30,044
Stade Maurice Dufrasne;30,023
St Andrew's (stadium);30,009
Anzhi-Arena;30,000
Astana Arena;30,000
Malmö Stadion;30,000
Estadio José Rico Pérez;30,000
Letzigrund;30,000
Tivoli-Neu;30,000
Red Bull Arena (Salzburg);30,000
Páirc Tailteann;30,000
Metalurh Stadium;29,783
Wildparkstadion;29,699
El Molinón;29,538
Stade de la Meinau;29,230
Georgi Asparuhov Stadium;29,200
Millerntor-Stadion;29,063
Jan Breydel Stadium;29,042
Brøndby Stadium;29,000
DKB-Arena;29,000
Şanlıurfa GAP Stadium;28,965
Estádio Primeiro de Maio;28,800
Lokomotiv Stadium (Moscow);28,800
Macron Stadium;28,723
Toumba Stadium;28,703
Britannia Stadium;28,383
Stadionul Steaua;28,365
Estádio do Bessa;28,263
Stadio Olimpico di Torino;28,140
Constant Vanden Stock Stadium;28,063
Ukraina Stadium;28,051
Lefkoşa Atatürk Stadı;28,000
Stadio Renato Curi;28,000
Ullevaal Stadion;28,000
Stadio Ennio Tardini;27,906
Stadio Oreste Granillo;27,763
Stadio Erasmo Iacovone;27,584
Stadio Mario Rigamonti;27,547
Odsal Stadium;27,491
SchücoArena;27,300
MDCC-Arena;27,250
Carrow Road;27,244
Mikheil Meskhi Stadium;27,223
The Valley (London);27,111
Carl-Benz-Stadion;27,000
Central Stadium (Yekaterinburg);27,000
Central Stadium (Krasnoyarsk);27,000
O'Moore Park;27,000
Pankritio Stadium;26,840
Kaftanzoglio Stadium;26,712
Stade Municipal Saint-Symphorien;26,700
The Oval;26,556
Estadio Nuevo José Zorrilla;26,512
The Hawthorns;26,500
Selhurst Park;26,309
Stadio Partenio;26,308
Pearse Stadium;26,197
Ganja City Stadium;26,120
Stade Guy Boniface;26,100
Abe Lenstra Stadion;26,000
Stadio del Conero;26,000
Yuvileiny Stadium;25,830
Craven Cottage;25,700
RSC Olimpiyskiy;25,678
Bursa Atatürk Stadium;25,661
Thomond Park;25,600
Mersin Arena;25,534
KC Stadium;25,404
Estadi Ciutat de València;25,354
Stadionul Ion Oblemenco;25,252
Stade Océane;25,178
Tsentralnyi Stadion (Mykolaiv);25,175
DW Stadium;25,138
Valley Parade;25,136
Almaty Central Stadium;25,057
Stadiumi Olimpik Adem Jashari;25,050
GelreDome;25,000
Rose Bowl (cricket ground);25,000
Butovsky Vorskla Stadium;25,000
CSK Stadium;25,000
Stade du Pays de Charleroi;25,000
Bijeli Brijeg Stadium;25,000
Darlington Arena;25,000
Badenova-Stadion;25,000
Estádio do Restelo;25,000
Healy Park;25,000
MMArena;25,000
Stadion Rote Erde;25,000
Stadio Pino Zaccheria;25,000
Cristal Arena;25,000
St Jarlath's Park;25,000
Wexford Park;25,000
Stade du Hainaut;25,000
